feature,mean_abs_shap
exclusive_area_m2,0.5106180046933178
지역,0.27694031656717216
building_age,0.1662865658150408
id,0.06426510890826777
nearest_subway_distance,0.0590027240128052
floor,0.040864133602405955
school_count_within_500m,0.036105102447227734
subway_count_1km,0.031447712012055914
mortgage_variable_rate_lag1,0.028138670453800887
nearest_school_distance,0.025297232622449983
apt_price_index_mom,0.02477630419083943
